date,recession_probability,1_month_recession_probability,3_month_recession_probability,6_month_recession_probability,1_year_rate,3_months_rate,6_months_rate,CPI,INDPRO,10_year_rate,share_price,unemployment_rate,PPI,OECD_CLI_index,CSI_index,Year,Quarter_Number,Month_Number,gdp_per_capita,seasonally_adjusted_INDPRO,seasonally_adjusted_CPI,seasonally_adjusted_unemployment_rate,anomaly_INDPRO,anomaly_CPI,anomaly_unemployment_rate,anomaly_PPI,anomaly_share_price,anomaly_1_year_rate,anomaly_3_months_rate,anomaly_6_months_rate,anomaly_10_year_rate,CPI_trend,INDPRO_trend,unemployment_rate_trend,PPI_trend,seasonally_adjusted_PPI
1970-10-01,86.34,32.38,0.1,0.0,6.229047619047619,5.906666666666667,6.206190476190477,39.4,36.6098,7.33,1.656278924932507,5.5,30.8,97.8756897774861,77.6,1970,4,10,25710.0,36.918574398350465,39.40575436016464,5.309843275299153,0,0,0,0,0,0,0,0,0,39.34506073302224,37.66567332055534,5.241618415334207,30.860985697521045,30.769701917997068
1970-11-01,32.38,0.0,1.38,0.04,5.394444444444444,5.282222222222222,5.415555555555556,39.6,36.3881,6.84,1.6505939420290157,5.9,30.8,98.20584328460708,72.4,1970,4,11,25916.0,36.14344309204192,39.60142129682449,5.887187165532016,0,0,0,0,0,0,0,0,0,39.48864890063608,37.69852061277526,5.328488695971754,31.024869966680477,30.933694761045132
1970-12-01,0.0,0.1,0.36,0.2,4.844090909090909,4.865454545454546,4.89,39.8,37.2237,6.39,1.730273583371846,6.1,30.8,98.6592925643544,72.4,1970,4,12,26122.0,37.47303755959988,39.76177197806204,6.089256566976324,0,0,0,0,0,0,0,0,0,39.62983820705657,37.74563598520716,5.41437071641857,31.19032367572473,31.07430645708718
1971-01-01,0.1,1.38,0.0,0.4,4.3950000000000005,4.4350000000000005,4.468999999999999,39.9,37.5101,6.24,1.784961470618494,5.9,30.8,99.15310829654942,78.1,1971,1,1,26328.0,37.38755971593119,39.864766379880166,6.090657342874455,0,0,0,0,0,0,0,0,0,39.769082262794086,37.808255679189045,5.495811759501505,31.357188581100466,30.787218554570234
1971-02-01,1.38,0.36,0.04,0.16,3.836111111111111,3.695,3.777222222222222,39.9,37.4386,6.11,1.8339975620498263,5.9,31.3,99.5942124689797,78.1,1971,1,2,26350.0,37.17382525385121,39.867276894289795,6.042816438213738,0,0,0,0,0,0,0,0,0,39.906192402316584,37.87606640872305,5.5720107890943185,31.52920536565886,31.325212318732564
1971-03-01,0.36,0.0,0.2,0.0,3.6030434782608696,3.3773913043478263,3.5008695652173913,40.0,37.398,5.7,1.8669663331471769,6.0,31.3,99.9238446041691,78.1,1971,1,3,26372.0,37.12651914504188,40.00644968560853,6.05634554121601,0,0,0,0,0,0,0,0,0,40.04032883931139,37.94936443198289,5.646005546716142,31.715461142541184,31.4630737220226
1971-04-01,0.0,0.04,0.4,0.0,4.090476190476191,3.861428571428572,4.028095238095238,40.1,37.608,5.83,1.9086617097245195,5.9,31.7,100.138399483965,78.1,1971,2,4,26394.0,37.38157153844214,40.11599947688384,5.887995054462631,0,0,0,0,0,0,0,0,0,40.17051823670773,38.02980423810395,5.721992582490406,31.93404876391074,31.76282853818394
1971-05-01,0.04,0.2,0.16,0.0,4.643,4.143,4.3549999999999995,40.3,37.7989,6.39,1.8911529136698784,5.9,32.6,100.248532518699,80.2,1971,2,5,26439.0,37.755630412493076,40.310077459196314,5.8891308623608225,0,0,0,0,0,0,0,0,0,40.296313864398385,38.116734869537225,5.798002593857921,32.19557534104675,32.29742747928441
1971-06-01,0.2,0.4,0.0,0.0,5.329090909090909,4.753636363636364,4.967272727272728,40.5,37.9574,6.52,1.8706290705053297,5.9,32.7,100.286990981381,80.2,1971,2,6,26484.0,38.07075285445037,40.48247912714974,5.8951588877345396,0,0,0,0,0,0,0,0,0,40.41771643822896,38.22155327182673,5.86099505915288,32.480315038120864,32.5074233656115
1971-07-01,0.4,0.16,0.0,0.0,5.741904761904761,5.400476190476191,5.630952380952381,40.6,37.8472,6.73,1.865479467567258,6.0,32.9,100.295454660474,80.2,1971,3,7,26529.0,38.038334647923264,40.603782469311334,5.991803807536344,0,0,0,0,0,0,0,0,0,40.535531160750395,38.36921461260719,5.896133095349196,32.759404893136555,32.73868069284677
1971-08-01,0.16,0.0,0.0,0.0,5.52,4.9354545454545455,5.222727272727273,40.7,37.6276,6.58,1.8411320015941524,6.1,35.0,100.318719617579,82.1,1971,3,8,26522.666666666668,37.692913659539364,40.727026372112654,6.009980905340178,0,0,0,0,0,0,0,0,0,40.650841892818974,38.563425999727535,5.90509305052989,33.02370756461745,35.020641976036586
1971-09-01,0.0,0.0,0.0,0.0,5.190952380952381,4.690952380952381,4.973333333333334,40.8,38.2391,6.14,1.8681728881561124,6.0,35.0,100.403207265645,82.1,1971,3,9,26516.333333333332,38.58784696544212,40.82173357798729,5.944195607633519,0,0,0,0,0,0,0,0,0,40.76446174232284,38.78456709428555,5.898136018235087,33.27727498036535,35.0248585340523
1971-10-01,0.0,0.0,0.0,0.0,4.750526315789474,4.4605263157894735,4.597894736842105,40.9,38.5253,5.93,1.84181064409176,5.8,35.0,100.582960222643,82.1,1971,4,10,26510.0,39.026340205051916,40.92039796821577,5.6638095258358065,0,0,0,0,0,0,0,0,0,40.87670182803518,39.03177514134556,5.885473058637435,33.52571204545759,35.118527009874526
1971-11-01,0.0,0.0,0.0,0.02,4.4865,4.217499999999999,4.38,41.0,38.6888,5.81,1.7821217274181602,6.0,35.0,100.871726676165,82.0,1971,4,11,26650.666666666668,38.31260609808799,41.02516622445876,5.896239934823547,0,0,0,0,0,0,0,0,0,40.987321568733165,39.305002353519875,5.868260479151113,33.77217656803407,35.27548716015749
1971-12-01,0.0,0.0,0.0,0.06,4.3945454545454545,4.009545454545454,4.234545454545454,41.1,39.1355,5.93,1.8639263953398288,6.0,35.0,101.250450357621,82.0,1971,4,12,26791.333333333332,39.37175734655066,41.08445008234274,5.870194983023504,0,0,0,0,0,0,0,0,0,41.09605181034857,39.590430176337414,5.84596888463026,34.017974115961444,35.426303539023905
1972-01-01,0.0,0.0,0.0,0.12,3.8157142857142854,3.384285714285714,3.6633333333333336,41.2,40.0728,5.95,1.916706010333247,5.8,35.0,101.647091836067,92.8,1972,1,1,26932.0,39.91720090726176,41.168336639086014,5.994562448331903,0,0,0,0,0,0,0,0,0,41.20309378246183,39.881242114991245,5.819017979328354,34.26764542488408,34.76616704441748
1972-02-01,0.0,0.0,0.02,0.0,4.0575,3.197,3.633,41.4,40.4789,6.08,1.9432686759682705,5.7,35.0,102.001319596061,92.8,1972,1,2,27114.0,40.20795615602707,41.34344438545742,5.834766815768511,0,0,0,0,0,0,0,0,0,41.30968370498656,40.1781510189182,5.787197587975197,34.52560052944158,34.84206061768649
1972-03-01,0.0,0.0,0.06,0.0,4.429545454545455,3.7295454545454545,4.124090909090909,41.4,40.761,6.07,1.97461042235672,5.8,35.1,102.278642984673,92.8,1972,1,3,27296.0,40.49538190437444,41.37976759102244,5.876419458986372,0,0,0,0,0,0,0,0,0,41.4168504634708,40.48288388674374,5.749866251577448,34.78007031038537,35.07013522743179
